Size,Median,Mean,STD
128,52.949,39.438,45.611
256,52.939,39.734,46.074
512,51.630,37.778,45.272
1024,52.664,38.645,45.629
2048,54.653,41.298,46.621
4096,62.944,51.683,62.089
8192,67.015,51.185,49.584
16384,73.694,57.182,51.751
32768,88.875,72.988,57.187
65536,120.848,101.472,66.429
131072,179.544,167.896,165.786
262144,327.164,288.997,129.002
524288,615.691,546.575,213.455
1048576,1187.140,1061.709,383.807
2097152,2331.433,2103.068,735.885
4194304,4619.004,4153.103,1405.134
8388608,9195.795,8281.656,2770.557
16777216,18378.102,16741.063,5745.994
33554432,36696.114,33042.782,10960.603
67108864,73319.543,66039.743,21867.205
134217728,146624.683,132112.803,43714.629
268435456,293213.945,264298.338,87427.297
536870912,586361.293,530321.921,175862.828
128,51.380,37.654,44.818
256,52.473,38.375,45.449
512,52.770,38.331,45.384
1024,53.551,38.782,45.516
2048,56.348,42.400,46.955
4096,62.535,49.117,51.422
8192,66.832,51.344,49.666
16384,74.934,60.538,53.136
32768,87.613,70.308,55.981
65536,120.736,99.913,65.619
131072,180.276,154.113,83.707
262144,328.088,287.523,127.766
524288,615.023,545.151,212.904
1048576,1187.022,1070.122,396.524
2097152,2331.389,2088.189,726.135
4194304,4621.428,4162.036,1408.423
8388608,9201.322,8283.896,2770.926
16777216,18384.668,16532.828,5502.879
33554432,36692.956,33782.727,13332.009
67108864,73276.144,65929.784,21844.147
134217728,146497.803,132076.100,43688.741
268435456,292965.041,263881.103,87278.483
536870912,586230.623,528279.410,174698.758
128,50.334,36.702,42.962
256,53.656,40.387,46.264
512,51.695,38.666,45.685
1024,52.086,37.840,45.231
2048,53.105,39.599,45.991
4096,61.037,46.639,48.120
8192,66.000,50.204,49.278
16384,73.416,57.528,51.867
32768,87.926,71.683,56.604
65536,121.428,100.257,65.709
131072,181.283,155.853,84.317
262144,327.008,289.819,132.163
524288,612.959,544.347,212.617
1048576,1185.117,1058.628,382.666
2097152,2329.717,2093.428,727.089
4194304,4619.390,4152.994,1405.169
8388608,9197.635,8284.388,2771.318
16777216,18378.086,16646.287,5575.258
33554432,36675.505,33031.809,10952.645
67108864,73298.511,66032.932,21870.915
134217728,146553.522,132079.916,43709.967
