Size,Time
128,3266.473
256,542.926
512,191.792
1024,159.899
2048,240.943
4096,158.692
8192,334.118
16384,165.272
32768,239.849
65536,168.812
131072,170.640
262144,201.466
524288,209.869
1048576,181.915
2097152,190.533
4194304,256.038
8388608,211.586
16777216,196.203
33554432,238.694
67108864,218.125
134217728,222.554
268435456,220.292
536870912,230.947
128,3327.901
256,256.465
512,162.961
1024,274.182
2048,233.627
4096,157.506
8192,181.260
16384,205.408
32768,248.055
65536,217.837
131072,180.007
262144,229.369
524288,182.224
1048576,183.546
2097152,185.726
4194304,222.131
8388608,188.355
16777216,195.422
33554432,326.383
67108864,308.101
134217728,233.998
268435456,216.051
536870912,226.195
128,2627.394
256,157.191
512,151.702
1024,160.755
2048,155.978
4096,208.215
8192,158.546
16384,160.949
32768,184.210
65536,168.561
131072,176.507
262144,190.769
524288,186.208
1048576,229.851
2097152,187.611
4194304,181.906
8388608,221.924
16777216,260.209
33554432,203.183
67108864,217.234
134217728,216.198
268435456,213.722
536870912,220.598
