Size,Median,Mean,STD
128,95.756,97.529,114.519
256,93.638,77.342,51.037
512,93.352,76.987,51.091
1024,93.776,77.564,51.114
2048,93.586,77.972,51.338
4096,111.622,97.479,56.491
8192,115.726,97.110,56.648
16384,117.953,99.516,57.577
32768,121.762,102.882,58.342
65536,126.146,107.052,59.511
131072,147.052,128.001,61.595
262144,154.220,134.751,63.664
524288,206.738,182.229,76.360
1048576,338.895,300.454,110.885
2097152,583.570,528.812,176.074
4194304,1103.536,1002.186,310.048
8388608,2129.987,1937.597,578.710
16777216,4180.658,3811.608,1113.176
33554432,8282.609,7552.636,2190.189
67108864,16500.416,15015.173,4368.224
134217728,32922.659,30035.276,8652.536
268435456,65762.156,60042.773,17306.051
536870912,131359.097,119886.316,34517.697
128,92.180,127.171,290.003
256,92.654,76.753,51.029
512,91.355,75.216,50.482
1024,93.257,77.476,51.195
2048,92.591,76.966,50.973
4096,111.479,94.100,55.782
8192,112.274,95.260,56.232
16384,116.170,97.958,56.882
32768,121.352,102.597,58.409
65536,126.333,107.517,59.833
131072,145.377,126.949,61.135
262144,153.747,133.587,63.369
524288,202.384,178.631,75.996
1048576,339.712,303.722,111.508
2097152,593.543,534.591,178.513
4194304,1106.317,1002.230,310.855
8388608,2127.902,1935.688,578.455
16777216,4178.656,3805.456,1113.469
33554432,8284.281,7554.480,2191.260
67108864,16501.966,15023.576,4356.282
134217728,32920.031,29964.342,8641.879
268435456,65752.429,59993.736,17296.835
536870912,131387.304,119897.880,34505.952
128,92.834,83.428,67.367
256,92.613,76.353,50.741
512,92.003,76.044,50.746
1024,92.625,87.207,117.083
2048,93.700,77.412,51.328
4096,111.386,94.292,56.095
8192,112.270,94.410,55.984
16384,115.061,97.106,56.717
32768,119.784,101.113,57.882
65536,125.648,106.594,59.271
131072,146.970,127.952,61.395
262144,149.816,129.814,62.355
524288,205.536,180.901,76.883
1048576,339.692,305.195,113.358
2097152,590.659,532.608,177.893
4194304,1102.797,999.631,309.447
8388608,2128.179,1944.873,583.780
16777216,4180.225,3809.067,1114.775
33554432,8284.405,7563.276,2190.564
67108864,16505.881,15065.922,4356.768
134217728,32921.256,30005.496,8663.719
268435456,65765.969,60026.651,17291.193
536870912,131421.250,119961.684,34521.139
128,95.949,119.255,254.156
256,95.983,80.101,51.881
512,95.411,79.449,51.721
1024,97.454,81.391,52.538
2048,96.870,81.385,52.369
4096,115.687,97.882,56.764
8192,117.692,100.272,57.873
16384,121.201,102.731,58.326
32768,123.493,104.965,58.995
65536,128.728,109.216,60.178
131072,152.906,134.012,62.880
262144,153.141,133.499,63.268
524288,201.587,177.684,75.691
1048576,325.818,290.768,107.741
2097152,590.484,533.667,178.569
4194304,1106.046,1001.581,310.774
8388608,2128.346,1936.880,577.453
16777216,4178.418,3807.671,1113.326
33554432,8283.449,7552.779,2190.504
67108864,16503.257,14956.096,4331.114
134217728,32920.496,30023.897,8657.149
268435456,65753.392,59996.768,17284.717
536870912,131383.454,119719.173,34413.481
128,90.484,104.550,286.012
256,92.055,76.255,50.822
512,93.133,76.914,51.050
1024,91.532,75.844,50.790
2048,90.837,74.752,50.309
4096,112.507,94.153,55.685
8192,110.137,92.806,55.333
16384,115.572,97.561,56.923
32768,120.739,101.810,58.155
65536,125.182,107.161,60.067
131072,146.135,127.268,61.347
262144,153.422,133.494,63.441
524288,201.090,177.687,75.951
1048576,340.546,304.034,111.945
2097152,590.639,533.147,177.783
4194304,1103.002,1001.159,309.668
8388608,2128.642,1945.703,584.670
16777216,4181.177,3814.239,1114.328
33554432,8284.756,7560.947,2186.257
67108864,16500.708,14927.251,4331.571
134217728,32928.420,30061.288,8668.061
268435456,65762.265,59983.785,17277.764
536870912,131383.362,119709.967,34490.974
