Size,Time
128,1117.842
256,253.566
512,214.007
1024,218.944
2048,250.913
4096,282.857
8192,233.379
16384,300.074
32768,218.220
65536,201.387
131072,323.407
262144,232.967
524288,210.304
1048576,233.392
2097152,222.697
4194304,241.816
8388608,239.671
16777216,207.909
33554432,216.391
67108864,239.827
134217728,214.008
268435456,281.437
536870912,314.922
128,3011.371
256,257.090
512,172.029
1024,187.206
2048,371.938
4096,252.263
8192,226.572
16384,221.116
32768,202.570
65536,254.804
131072,319.545
262144,250.638
524288,290.251
1048576,223.339
2097152,217.285
4194304,237.913
8388608,230.209
16777216,220.555
33554432,219.326
67108864,216.106
134217728,231.495
268435456,241.191
536870912,254.443
128,4540.594
256,221.449
512,214.388
1024,201.150
2048,292.991
4096,193.980
8192,194.950
16384,203.644
32768,195.643
65536,277.180
131072,366.774
262144,235.881
524288,268.577
1048576,429.562
2097152,249.334
4194304,262.359
8388608,212.343
16777216,235.328
33554432,227.021
67108864,324.357
134217728,271.969
268435456,252.771
536870912,232.594
