Size,Median,Mean,STD
128,2568.149,2354.235,812.334
256,2502.871,2294.958,859.171
512,2544.852,2344.834,860.440
1024,2488.450,2288.128,840.301
2048,2539.031,2332.518,861.820
4096,2466.617,2247.658,835.330
8192,2446.823,2260.264,843.257
16384,2498.254,2273.935,838.731
32768,2439.470,2233.668,834.655
65536,2383.194,2190.961,819.542
131072,2400.294,2193.744,807.734
262144,2517.175,2361.446,881.294
524288,2572.192,2344.549,866.482
1048576,2699.616,2489.106,927.864
2097152,2802.860,2585.472,946.698
4194304,3158.232,2919.689,1026.521
8388608,3661.744,3402.262,1124.889
16777216,4985.796,4566.499,1399.612
33554432,8257.431,7624.548,2220.497
67108864,16458.406,15080.469,4384.705
134217728,32875.142,29643.901,8594.461
268435456,65726.488,59873.147,17240.037
536870912,131353.881,119866.090,34473.191
128,2452.138,2221.213,819.028
256,2398.211,2183.132,834.473
512,2520.629,2309.589,860.913
1024,2489.591,2262.062,844.505
2048,2489.896,2233.737,840.549
4096,2430.954,2202.660,814.691
8192,2372.799,2185.356,807.085
16384,2551.177,2290.184,854.835
32768,2425.052,2199.416,817.080
65536,2348.853,2120.131,822.889
131072,2399.391,2209.244,834.413
262144,2389.158,2214.117,828.117
524288,2507.434,2298.047,836.097
1048576,2533.551,2366.456,874.282
2097152,2839.755,2602.921,928.289
4194304,3117.798,2807.996,979.174
8388608,3604.093,3320.851,1100.546
16777216,4821.918,4495.542,1380.802
33554432,8259.709,7603.099,2211.989
67108864,16457.782,15039.483,4328.727
134217728,32872.972,29711.192,8589.681
268435456,65727.374,59755.203,17217.726
536870912,131339.249,119766.427,34502.477
128,2451.071,2329.041,774.787
256,2516.742,2283.625,862.014
512,2519.270,2282.902,859.436
1024,2491.884,2262.518,851.862
2048,2445.773,2230.385,835.674
4096,2420.700,2235.770,829.024
8192,2445.328,2203.924,825.568
16384,2489.322,2279.369,845.014
32768,2524.360,2292.910,842.908
65536,2366.299,2171.834,844.087
131072,2427.885,2236.862,825.730
262144,2347.266,2158.442,804.491
524288,2454.508,2278.968,837.291
1048576,2612.629,2437.832,901.040
2097152,2888.172,2593.402,932.960
4194304,3332.182,3037.576,1049.033
8388608,3624.658,3391.031,1135.312
16777216,4995.869,4561.060,1401.699
33554432,8253.300,7581.102,2205.105
67108864,16457.515,15023.207,4335.943
134217728,32880.476,29751.446,8609.583
268435456,65727.292,59771.161,17217.121
536870912,131319.716,119607.249,34454.833
128,2515.483,2271.613,781.784
256,2460.239,2268.788,845.684
512,2515.144,2252.387,825.871
1024,2372.883,2209.461,827.075
2048,2387.158,2173.553,786.218
4096,2395.262,2202.780,817.145
8192,2411.495,2182.817,805.322
16384,2487.434,2250.453,846.216
32768,2341.486,2188.765,829.130
65536,2339.884,2149.739,802.734
131072,2377.564,2219.412,827.502
262144,2330.783,2210.304,850.643
524288,2555.096,2312.185,854.745
1048576,2649.903,2465.261,903.162
2097152,2889.235,2654.461,966.871
4194304,3199.104,2907.336,999.137
8388608,3723.043,3423.881,1124.581
16777216,4917.342,4521.819,1386.775
33554432,8252.651,7594.537,2212.635
67108864,16456.658,15027.799,4338.554
134217728,32878.697,29800.223,8625.325
268435456,65724.010,59933.109,17277.098
536870912,131338.157,119694.965,34447.663
128,2476.167,2282.659,816.042
256,2455.032,2244.890,843.686
512,2474.231,2229.396,826.246
1024,2389.064,2227.933,829.302
2048,2427.169,2226.124,817.311
4096,2432.806,2243.675,830.073
8192,2492.173,2281.584,833.711
16384,2394.926,2175.821,821.450
32768,2466.904,2261.683,837.009
65536,2240.347,2107.488,794.927
131072,2292.049,2194.682,828.533
262144,2456.859,2248.083,853.054
524288,2656.192,2402.976,893.726
1048576,2632.532,2461.085,910.111
2097152,2771.415,2571.792,920.921
4194304,3082.456,2837.445,988.300
8388608,3734.575,3409.602,1116.240
16777216,4922.405,4527.975,1391.873
33554432,8270.170,7665.579,2243.177
67108864,16458.788,15015.546,4334.392
134217728,32877.491,29794.794,8627.076
268435456,65728.941,59704.733,17204.133
536870912,131340.342,119613.237,34434.400
