Size,Median,Mean,STD
128,48.824,51.040,150.393
256,49.161,35.286,42.045
512,50.099,37.299,42.973
1024,50.698,36.824,42.520
2048,52.389,39.240,42.501
4096,52.511,38.959,42.375
8192,56.328,41.761,43.772
16384,65.738,50.458,46.486
32768,83.080,66.309,50.639
65536,121.853,101.249,62.023
131072,204.212,176.563,85.771
262144,362.415,318.916,129.471
524288,680.638,607.675,218.910
1048576,1315.506,1183.170,397.542
2097152,2583.950,2331.594,753.591
4194304,5122.240,4634.449,1464.966
8388608,10198.677,9234.496,2889.048
16777216,20366.587,18525.672,5875.240
33554432,40675.473,36886.838,11458.423
67108864,81278.857,73652.118,22846.786
134217728,162520.350,147194.083,45633.039
268435456,324976.346,294530.488,91286.227
536870912,649879.841,589124.014,182561.140
