Size,Median,Mean,STD
128,510.125,473.175,201.755
256,516.532,460.735,172.869
512,522.107,465.533,174.546
1024,524.845,467.645,174.718
2048,521.466,466.277,174.884
4096,607.381,561.863,267.759
8192,610.829,549.308,200.024
16384,621.028,559.488,203.531
32768,639.401,574.818,207.832
65536,663.092,602.131,222.425
131072,717.151,646.078,222.756
262144,715.870,644.500,223.515
524288,908.702,820.434,276.724
1048576,1156.313,1043.834,347.240
2097152,2452.240,2216.501,712.317
4194304,4997.017,4524.973,1429.122
8388608,10074.803,9125.775,2856.706
16777216,20266.411,18351.171,5716.993
33554432,40571.339,36763.757,11430.903
67108864,81173.116,73537.397,22835.558
134217728,162420.983,147108.186,45659.117
268435456,324879.720,294424.232,91371.934
536870912,649769.445,588793.603,182707.218
