Size,Median,Mean,STD
128,587.721,540.338,200.426
256,577.517,513.768,191.304
512,598.849,538.540,199.011
1024,599.627,540.541,200.001
2048,601.542,535.865,198.403
4096,671.711,622.654,299.820
8192,672.609,603.628,218.135
16384,688.057,615.325,223.403
32768,700.814,629.554,226.088
65536,714.143,639.601,229.188
131072,771.132,692.025,239.544
262144,768.244,697.649,241.440
524288,942.095,855.045,288.036
1048576,1148.901,1037.612,347.200
2097152,2394.089,2165.329,697.397
4194304,4939.119,4473.743,1413.485
8388608,10024.767,9084.008,2842.933
16777216,20118.826,18147.550,5659.604
33554432,39318.287,35678.328,11093.380
67108864,80553.535,72902.067,22633.836
134217728,162125.786,146802.365,45562.002
268435456,324477.646,294000.784,91229.226
536870912,648685.094,587945.506,182404.426
