Size,Median,Mean,STD
128,10.265,8.959,120.353
256,10.481,-3.273,42.390
512,10.810,-3.095,42.542
1024,11.805,-1.174,44.720
2048,12.395,-1.356,43.253
4096,11.298,-2.466,42.014
8192,16.150,1.778,43.773
16384,24.148,9.027,46.018
32768,41.085,24.537,50.174
65536,80.644,60.146,61.547
131072,160.365,132.199,83.986
262144,320.172,277.273,128.996
524288,639.093,566.330,218.620
1048576,1276.590,1144.428,397.317
2097152,2550.293,2298.890,755.983
4194304,5034.571,4588.279,1523.109
8388608,10197.141,9263.350,2950.440
16777216,20359.998,18450.981,5761.178
33554432,40724.868,36912.099,11480.205
67108864,81542.055,74566.633,23224.623
134217728,163094.774,147903.401,45881.085
268435456,326173.069,295621.769,91640.302
536870912,652305.447,591232.288,183247.331
