Size,Median,Mean,STD
128,516.139,478.543,229.788
256,510.627,451.733,183.395
512,508.975,450.997,183.213
1024,515.514,458.370,185.708
2048,520.406,460.016,185.961
4096,595.053,549.364,290.879
8192,595.136,532.329,208.044
16384,605.613,539.655,210.211
32768,613.149,549.055,216.668
65536,618.725,552.335,213.916
131072,684.830,612.760,227.578
262144,686.070,618.838,229.922
524288,848.331,763.341,273.070
1048576,1091.089,981.238,340.552
2097152,2371.592,2142.800,703.873
4194304,4931.442,4459.233,1421.747
8388608,9926.948,8992.254,2829.889
16777216,20018.712,18111.886,5655.502
33554432,40380.935,36569.451,11376.827
67108864,81143.795,73490.332,22832.130
134217728,162716.726,147438.867,45778.559
268435456,325904.473,295318.514,91660.763
536870912,651870.526,590749.115,183304.321
